CRS_NAME,COURSES_ID,TERM_REPORTING_YEAR,C4AP
ART-112,90,2013,14
ART-211,226,2018,18
ART-240,259,2016,3
ART-244,261,2014,5
BIO-103,272,2017,6
BIO-120,278,2013,2
THE-111U,4875,2012,1
WLD-118C,4962,2012,2
SPA-124A,4575,2014,4
SPA-156GG,4700,2012,2
SPA-160AA,4712,2018,6
SPA-170B,4726,2017,4
SPA-181D,4737,2017,2
THE-110,4853,2011,2
MUS-135,3408,2016,2
PEF-135F,5259,2019,4
PHY-104,4304,2017,6
PHY-107,4307,2017,6
PSY-103,4354,2019,22
SNL-120B,4461,2013,2
ECE-101,1671,2013,4
FIR-172A,2284,2013,2
FIR-172A,5552,2015,2
JPN-143,3076,2018,4
MUS-113,3281,2019,5
MUS-123,3290,2014,4
BIO-141A,319,2017,2
BSN-104,484,2017,11
CRJ-105,1290,2012,10
CUL-163F,1400,2015,2
DAN-108,1520,2012,1
DMA-121,1583,2017,6
ART-135C,187,2011,1
ART-244,261,2019,8
BSN-158A,516,2012,1
CUL-128,1366,2017,1
CUL-172C,1426,2013,3
ECE-103,1673,2018,18
SPA-121A,4565,2014,4
SPA-122D,4570,2020,5
SPA-124A,4575,2019,7
THE-112A,4876,2019,8
THE-228D,4934,2012,2
HIS-113,2849,2016,1
JPN-202,3084,2015,5
MUS-104E,3267,2015,8
SOC-106,4497,2016,3
SPA-102,4560,2015,12
SPA-103,4561,2016,7
ENG-102,1872,2012,5
FIR-101,2184,2014,3
FIR-177A,5506,2018,1
FRE-142,2354,2018,4
GEG-107,5844,2017,3
HEA-106,2614,2011,2
BSN-105,485,2020,15
BSN-115,490,2015,4
BSN-120,493,2015,2
CAO-121,706,2012,11
CIS-120A,872,2012,2
CUL-163D,1398,2012,2
WLD-127A,5409,2018,6
WLD-128D,5876,2020,1
SPA-160AA,4712,2019,2
SPA-202,4819,2020,27
SPA-220A,5821,2017,7
THE-129,4889,2012,3
WLD-101,5311,2020,2
WLD-117A,5319,2019,2
GER-142,2455,2014,2
HSP-130,6030,2020,8
PEF-123C,5235,2016,1
PSY-111,4360,2012,3
SPA-121B,4566,2019,7
SPA-154F,4677,2014,2
CUL-163K,1404,2020,7
CUL-165,1412,2013,2
ECE-204,1832,2013,1
ETH-203B,2171,2012,5
FIR-153,2259,2015,3
FIR-167,5276,2018,6
ANT-106,48,2013,3
ANT-107,49,2011,5
ANT-108,50,2013,4
ART-111,5532,2017,19
ART-224,5661,2019,11
BSN-155A,514,2018,2
WLD-117A,5319,2013,6
WLD-118A,4960,2012,6
WLD-126C,4973,2014,2
SPA-154M,4683,2018,6
SPA-156EE,4696,2020,5
THE-111P,4870,2011,1
THE-115,4880,2014,2
THE-134A,5184,2015,3
WLD-104,5312,2013,6
ITA-141,3042,2011,2
ITA-252,3054,2011,2
MAT-104,3145,2019,13
MUS-112,5868,2020,5
MUS-147,3427,2012,1
PHY-107,4307,2019,18
EVS-104,5645,2015,7
FIR-172D,5818,2017,2
FRE-251,2369,2013,2
GEL-107,2409,2018,5
GEL-110,2412,2020,7
HIS-112,2848,2014,4
BSN-190,526,2011,3
CUL-102,1355,2011,5
ECE-109,1679,2012,1
ENG-211,2059,2018,8
ENG-213,2061,2014,7
ENG-221,2079,2011,3
ART-116,5656,2020,19
ART-215,230,2015,5
ART-220A,5109,2019,16
ART-234,250,2012,5
CAO-165A,733,2011,1
CIS-114,870,2014,2
SPA-125A,4577,2011,4
SPA-154P,5303,2016,2
SPA-160A,4711,2013,2
THE-101,4841,2017,3
THE-104A,4845,2014,6
WLD-100,5310,2017,9
GSE-107,5673,2019,12
MUS-127B,3303,2012,1
PEF-123B,5234,2015,1
PHI-101,4239,2019,13
SOC-106,4497,2019,17
SPA-124,4574,2015,3
ECE-121,1684,2020,4
ETH-202A,2167,2012,5
FIR-105,2188,2017,2
FIR-106,2189,2016,2
FIR-181B,5809,2018,5
GER-252,2475,2014,2
COU-109,984,2013,2
COU-121,989,2015,4
CUL-104,1357,2011,5
DAN-123,1549,2011,2
DAN-141A,5143,2012,1
ECE-100,5340,2015,3
BIO-103,272,2019,18
CAO-120,5077,2012,3
CRJ-108,1292,2017,3
FIR-173A,5555,2019,1
HIS-127B,5088,2015,6
JPN-142,3075,2017,1
WLD-101,5311,2019,2
WLD-125B,5231,2020,1
SPA-160D,4716,2017,2
SPA-160E,4717,2016,2
SPA-160H,4723,2018,6
SPA-185A,4741,2012,2
SPA-186A,4742,2013,2
THE-111G,4861,2012,1
PSY-104,4355,2020,19
SNL-202,4489,2012,6
SPA-141,4666,2012,6
SPA-155,4688,2011,6
SPA-156E,4695,2019,6
SPA-157G,4707,2012,4
JPN-201,3083,2018,20
MUS-123,3290,2018,5
MUS-126E,3300,2012,1
MUS-130B,3309,2018,5
PEF-101J,5395,2016,1
PHI-205,4248,2011,4
ART-101,80,2017,7
ART-141,197,2017,5
ART-221D,5629,2018,13
BIO-210,327,2017,5
CIS-113,869,2013,2
CRJ-101,1286,2017,5
THE-101,4841,2016,1
SOC-102,4493,2012,6
SOC-131,4502,2015,1
SPA-121A,4565,2019,7
SPA-160F,4719,2017,2
SPA-199A,4815,2011,2
SPA-199D,4816,2016,2
MUS-126F,3301,2014,1
PEF-140B,5300,2016,1
PET-102,4237,2011,1
PET-102A,5522,2014,1
REL-103,4391,2011,4
REL-107,4395,2011,4
HIS-111,2847,2012,4
HSP-100,6028,2020,4
HUM-105,2984,2011,4
JPN-101,3056,2018,12
MUS-104D,3266,2011,4
MUS-104F,3268,2014,8
CRJ-110,1294,2019,10
DAN-127A,5133,2015,2
ENG-200,2047,2013,5
ETH-202B,2168,2015,5
FIR-103,2186,2015,3
FIR-104,2187,2014,3
ART-221F,5631,2020,11
ART-224,239,2014,5
BOT-122,5974,2020,5
BSN-101A,5539,2014,9
BSN-110A,5540,2014,12
COU-120,988,2016,2
SPE-104,4833,2012,4
WLD-116,5916,2020,2
WLD-120B,5221,2015,2
WLD-125B,5231,2016,2
SPA-156EE,4696,2014,2
SPA-170A,4725,2020,6
SPA-187,4744,2011,2
SPA-188,4745,2012,2
SPA-189,4746,2018,6
SPA-199H,4817,2014,2
FIR-170C,2280,2013,1
MUS-111,3275,2018,10
MUS-248B,3460,2011,1
SPA-121B,4566,2014,4
SPA-123B,4572,2016,2
SPA-154R,4687,2019,6
COU-127,995,2019,6
CUL-163A,1395,2017,1
CUL-163F,1400,2020,5
CUL-163H,1402,2017,3
DMA-103,5275,2014,1
ECE-205,5713,2020,4
ART-111,5532,2015,22
ART-239,258,2011,3
ASL-203,5784,2020,6
BIO-201,323,2014,3
BSN-111,489,2013,3
CHM-100,830,2014,3
SPA-155,5305,2019,13
SPA-156D,4694,2012,2
SPE-102,4831,2012,8
WLD-146A,5044,2013,6
GEG-102,2374,2011,4
MUS-104A,3263,2011,2
MUS-104E,3267,2020,11
PEF-104B,5410,2018,4
PEH-100,4228,2012,2
PET-106,5524,2015,1
COU-126,994,2017,1
CUL-102,1355,2015,6
CUL-163G,1401,2014,2
CUL-163L,1405,2018,5
ECE-129,1689,2015,1
ENG-207,2052,2011,3
ART-249,265,2020,1
BIO-101,270,2020,25
BSN-158B,517,2013,1
CUL-163C,1397,2018,5
CUL-163G,1401,2019,5
DAN-116A,5379,2015,2
WLD-117A,4958,2011,6
WLD-141A,5528,2018,12
WLD-146E,5428,2014,2
MUS-209,3445,2011,1
RUS-143,4448,2011,2
SPA-157B,4702,2014,4
SPA-160FF,4720,2013,2
SPA-171A,4728,2011,4
SPA-195D,4813,2014,2
FIR-103,2186,2011,2
FIR-153,2259,2011,2
FRE-103,2343,2018,20
GEG-113,2384,2015,7
HIS-127C,5089,2019,22
MOA-240,3258,2018,11
ART-107,86,2017,6
ART-147,203,2019,11
ART-210,225,2015,3
ART-219C,5497,2017,3
ART-224,239,2020,10
BSN-101B,482,2011,2
PHY-107,4307,2016,4
SNL-106,4458,2012,2
THE-105E,5168,2018,8
THE-112C,4878,2014,9
WLD-117B,4959,2013,2
WLD-140C,5040,2011,2
DAN-117E,5123,2015,2
DAN-126C,5131,2012,1
ENG-217,2065,2015,7
HIS-127A,5087,2019,26
MUS-128B,3305,2014,4
MUS-247,3457,2014,1
BSN-111,489,2015,4
BSN-152B,511,2014,1
CHN-142,860,2015,1
CRJ-107,1291,2012,2
CUL-162D,1393,2014,2
CUL-172B,1425,2020,7
ART-107,86,2018,22
ART-114,5534,2020,26
ART-214,229,2020,12
ART-242,260,2013,2
CIS-115,871,2017,2
CIS-120A,872,2011,1
SPA-170C,4727,2019,8
PLS-152,4318,2011,2
REL-101,4389,2018,8
REL-103,4391,2018,12
SPA-103,4561,2018,42
SPA-154B,5559,2015,2
SPA-154R,4687,2013,2
FRE-142,2354,2013,2
GEG-108,2383,2019,22
HSP-120,6029,2020,8
MOA-240,3258,2012,4
PEF-116B,5421,2018,4
PEF-135H,5263,2015,1
CUL-166,1413,2017,1
CUL-226,1501,2011,3
DAN-142B,5148,2012,1
ECE-121,1684,2015,1
ECE-203,1831,2011,2
ETH-203C,2172,2017,5
ART-116,94,2014,7
ART-223,238,2012,4
BIO-205,326,2011,5
BSN-100,480,2016,3
CUL-163E,1399,2015,2
CUL-163J,1403,2012,2
SPA-123A,4571,2014,4
SPA-154B,4673,2011,2
SPA-154C,4674,2016,2
SPA-160D,4716,2018,6
SPA-160EE,4718,2011,2
WLD-133,5033,2020,2
PEF-135H,5263,2020,3
PEF-135M,5260,2019,4
PEF-140A,5299,2016,1
SNL-203,4490,2012,6
SOC-104,4495,2014,6
SOC-114,4501,2012,8
DAN-113,1530,2012,1
ENG-214,2062,2011,5
ETH-202A,2167,2018,18
FRE-143,2355,2017,1
GSE-103,2552,2015,4
MUS-103,3261,2018,4
ART-103,5268,2018,52
ART-119A,5105,2016,2
ART-141,197,2011,9
ART-143,199,2015,4
ART-239A,5113,2017,3
BSN-110B,487,2011,8
THE-130,4890,2011,3
WLD-128D,5876,2018,5
SPA-121D,4567,2015,3
SPA-154F,5560,2014,2
SPA-154Q,5304,2018,6
SPA-189,4746,2020,5
SPA-202,4819,2018,46
THE-105A,5164,2019,8
PEF-104D,5411,2019,4
POL-101,4323,2015,3
PSY-111,4360,2020,3
PSY-210,5335,2020,10
REL-101,4389,2019,4
REL-104,4392,2013,5
GEG-103,2377,2016,4
GEL-110,2412,2011,3
JPN-203,3085,2012,6
MAT-203,3235,2019,25
MOA-235,3253,2011,4
MUS-136,3409,2015,3
CRJ-110,1294,2015,9
CUL-114,1361,2020,6
DAN-117B,5119,2012,1
ENG-206,2051,2020,9
FIR-170A,6159,2019,6
FIR-170C,6161,2018,6
CAO-110,705,2013,1
CAO-121,706,2018,1
CAO-122,707,2019,1
CAO-156,724,2011,1
COU-123,991,2017,1
COU-124,992,2016,1
ART-220C,5501,2014,2
ART-221B,5627,2015,4
ART-224,239,2018,6
BIO-201,323,2015,5
COU-122,990,2015,2
CUL-163H,1402,2018,7
SPA-181A,4736,2011,2
THE-134B,5187,2015,3
WLD-116,4957,2018,24
WLD-128B,5321,2013,6
WLD-140A,5416,2013,6
PET-100,4235,2015,2
PHI-218,4251,2012,2
SOC-106,4497,2012,11
SPA-156C,4692,2013,2
SPA-160GG,4722,2016,2
SPA-160H,4723,2017,2
JPN-143,3076,2013,2
JPN-201,3083,2011,6
MAT-105,3146,2014,6
MUS-134A,3405,2016,2
MUS-134B,3406,2011,2
MUS-248B,5286,2019,5
CUL-168A,1416,2013,2
CUL-172C,1426,2016,2
DAN-103A,1509,2011,2
ETH-203B,2171,2018,18
FIR-101,2184,2019,6
GSE-126,2559,2015,2
ART-107,86,2013,11
ART-120B,5108,2020,1
ART-143,199,2014,2
ART-216,231,2020,6
ART-219A,5074,2013,7
ART-219B,5075,2012,7
WLD-119,5226,2016,4
WLD-120D,5723,2020,1
SPA-143,4668,2018,16
SPA-154M,4683,2012,2
SPA-156CD,5802,2018,5
SPA-156CE,5803,2019,5
SPA-180A,4734,2019,1
WLD-116,4957,2017,8
POR-143,4348,2012,2
SOC-101,4492,2016,5
SOC-107,4498,2018,25
SPA-123D,4573,2011,4
SPA-142,4667,2013,6
SPA-143,4668,2012,6
MOA-133,3242,2012,2
MOA-229,3245,2013,2
MOA-236,3254,2011,2
MUS-128A,3304,2017,2
PEF-100B,5287,2016,1
PEF-121C,5218,2014,1
CUL-164D,1411,2017,1
DAN-125B,5125,2012,1
ENG-205,2050,2013,5
GEG-103,2377,2017,6
GEG-113,2384,2014,5
HIS-110,2846,2018,23
ART-223,5660,2017,3
ART-241C,5632,2020,4
ASL-105,5779,2019,1
BSN-125,498,2018,16
CUL-104,1357,2012,6
