"Course","Predictionlass","Actual","SEC_NAME","PY","Residuallass","Residual2lass","TERM","Predictionrf","Residualrf","Residual2rf","Predictionxg","Residualxg","Residual2xg","Predictionmean","Residualmean","Residual2mean","Dept","DayPat"
"ANT-102",25,24,"ANT-102-01",20,1,-1,"2018FA",24,0,0,26,2,-2,25,1,-1,"ANT","OL"
"ANT-103",18,15,"ANT-103-01",10,3,-3,"2018FA",14,1,1,13,2,2,15,0,0,"ANT","TUETHU"
"ANT-107",25,24,"ANT-107-01",17,1,-1,"2018FA",22,2,2,22,2,2,23,1,1,"ANT","OL"
"ART-101",13,12,"ART-101-01",16,1,-1,"2018FA",13,1,-1,17,5,-5,14,2,-2,"ART","TUETHU"
"ART-111",9,22,"ART-111-01",7,13,13,"2018FA",10,12,12,8,14,14,9,13,13,"ART","MONWED"
"ART-114",18,11,"ART-114-01",18,7,-7,"2018FA",17,6,-6,17,6,-6,17,6,-6,"ART","MONWED"
"ART-119A",10,20,"ART-119A-01",4,10,10,"2018FA",9,11,11,8,12,12,9,11,11,"ART","MONWED"
"ART-119A",8,11,"ART-119A-02",8,3,3,"2018FA",9,2,2,12,1,-1,10,1,1,"ART","TUETHU"
"ART-119B",4,3,"ART-119B-01",1,1,-1,"2018FA",2,1,1,2,1,1,3,0,0,"ART","MONWED"
"ART-119B",1,2,"ART-119B-02",1,1,1,"2018FA",2,0,0,2,0,0,2,0,0,"ART","TUETHU"
"ART-120A",4,5,"ART-120A-01",2,1,1,"2018FA",3,2,2,3,2,2,3,2,2,"ART","TUETHU"
"ART-120B",3,2,"ART-120B-01",3,1,-1,"2018FA",3,1,-1,3,1,-1,3,1,-1,"ART","TUETHU"
"ART-135A",10,8,"ART-135A-01",8,2,-2,"2018FA",12,4,-4,13,5,-5,12,4,-4,"ART","OL"
"ART-142",10,8,"ART-142-01",8,2,-2,"2018FA",10,2,-2,11,3,-3,10,2,-2,"ART","MONWED"
"ART-146",13,7,"ART-146-01",16,6,-6,"2018FA",12,5,-5,10,3,-3,12,5,-5,"ART","WEDTHU"
"ART-211",9,6,"ART-211-01",5,3,-3,"2018FA",9,3,-3,9,3,-3,9,3,-3,"ART","TUETHU"
"ART-212",2,3,"ART-212-01",1,1,1,"2018FA",4,1,-1,2,1,1,3,0,0,"ART","TUETHU"
"ART-213",8,11,"ART-213-01",7,3,3,"2018FA",10,1,1,9,2,2,9,2,2,"ART","MONWED"
"ASL-101",23,25,"ASL-101-01",23,2,2,"2018FA",20,5,5,22,3,3,22,3,3,"ASL","MONWED"
"BIO-101",10,21,"BIO-101-02",15,11,11,"2018FA",13,8,8,19,2,2,14,7,7,"BIO","TUETHU"
"BIO-110",19,22,"BIO-110-01",18,3,3,"2018FA",19,3,3,18,4,4,19,3,3,"BIO","MONWED"
"BIO-149",11,8,"BIO-149-01",8,3,-3,"2018FA",10,2,-2,5,3,3,9,1,-1,"BIO","MONWED"
"BIO-203",15,11,"BIO-203-01",18,4,-4,"2018FA",14,3,-3,16,5,-5,15,4,-4,"BIO","TUETHU"
"BIO-203",12,9,"BIO-203-02",16,3,-3,"2018FA",13,4,-4,13,4,-4,13,4,-4,"BIO","TUEWEDTHU"
"BIO-203",11,12,"BIO-203-03",4,1,1,"2018FA",9,3,3,11,1,1,10,2,2,"BIO","TUETHU"
"BIO-203",10,8,"BIO-203-04",7,2,-2,"2018FA",11,3,-3,13,5,-5,11,3,-3,"BIO","TUEWEDTHU"
"BIO-203",10,12,"BIO-203-06",10,2,2,"2018FA",10,2,2,12,0,0,11,1,1,"BIO","TUETHU"
"BIO-210",15,20,"BIO-210-01",14,5,5,"2018FA",13,7,7,13,7,7,14,6,6,"BIO","MONWEDFRI"
"BSN-100",23,20,"BSN-100-01",31,3,-3,"2018FA",23,3,-3,26,6,-6,24,4,-4,"BSN","MONWED"
"BSN-100",26,30,"BSN-100-02",26,4,4,"2018FA",26,4,4,24,6,6,25,5,5,"BSN","OL"
"BSN-101A",15,15,"BSN-101A-01",18,0,0,"2018FA",14,1,1,12,3,3,14,1,1,"BSN","MONWED"
"BSN-102",15,13,"BSN-102-01",14,2,-2,"2018FA",12,1,1,12,1,1,13,0,0,"BSN","MONWED"
"BSN-110A",27,21,"BSN-110A-01",31,6,-6,"2018FA",27,6,-6,29,8,-8,28,7,-7,"BSN","TUETHU"
"BSN-110C",16,11,"BSN-110C-01",12,5,-5,"2018FA",13,2,-2,11,0,0,13,2,-2,"BSN","OL"
"BSN-117",11,8,"BSN-117-01",9,3,-3,"2018FA",13,5,-5,12,4,-4,12,4,-4,"BSN","OL"
"BSN-125",20,21,"BSN-125-01",25,1,1,"2018FA",24,3,-3,23,2,-2,22,1,-1,"BSN","OL"
"BSN-210",13,10,"BSN-210-01",12,3,-3,"2018FA",11,1,-1,12,2,-2,12,2,-2,"BSN","OL"
"CHM-101",18,15,"CHM-101-01",16,3,-3,"2018FA",17,2,-2,14,1,1,16,1,-1,"CHM","MONTUEWEDTHU"
"CHM-101",20,19,"CHM-101-02",20,1,-1,"2018FA",19,0,0,19,0,0,19,0,0,"CHM","TUETHU"
"CHM-116",16,12,"CHM-116-01",10,4,-4,"2018FA",12,0,0,14,2,-2,14,2,-2,"CHM","MONWED"
"COU-108",20,11,"COU-108-01",21,9,-9,"2018FA",17,6,-6,21,10,-10,19,8,-8,"COU","OL"
"CRJ-101",22,26,"CRJ-101-01",16,4,4,"2018FA",20,6,6,25,1,1,22,4,4,"CRJ","OL"
"CRJ-103",21,15,"CRJ-103-01",19,6,-6,"2018FA",21,6,-6,20,5,-5,21,6,-6,"CRJ","OL"
"CRJ-108",16,9,"CRJ-108-01",6,7,-7,"2018FA",8,1,1,8,1,1,11,2,-2,"CRJ","OL"
"CRJ-110",10,8,"CRJ-110-01",11,2,-2,"2018FA",12,4,-4,10,2,-2,11,3,-3,"CRJ","OL"
"CUL-101",9,7,"CUL-101-01",7,2,-2,"2018FA",11,4,-4,11,4,-4,10,3,-3,"CUL","MON"
"CUL-102",11,11,"CUL-102-01",7,0,0,"2018FA",10,1,1,10,1,1,10,1,1,"CUL","MONWED"
"CUL-172D",19,9,"CUL-172D-01",11,10,-10,"2018FA",12,3,-3,17,8,-8,16,7,-7,"CUL","FRI"
"DMA-112",12,10,"DMA-112-01",13,2,-2,"2018FA",16,6,-6,13,3,-3,14,4,-4,"DMA","OL"
"ECE-102",11,7,"ECE-102-01",9,4,-4,"2018FA",12,5,-5,11,4,-4,11,4,-4,"ECE","MONWED"
"ECE-102",14,13,"ECE-102-02",10,1,-1,"2018FA",14,1,-1,19,6,-6,16,3,-3,"ECE","OL"
"ECO-101",17,17,"ECO-101-01",14,0,0,"2018FA",13,4,4,10,7,7,13,4,4,"ECO","TUETHU"
"ECO-102",25,31,"ECO-102-01",24,6,6,"2018FA",25,6,6,28,3,3,26,5,5,"ECO","OL"
"ENG-101",17,22,"ENG-101-01",24,5,5,"2018FA",19,3,3,25,3,-3,20,2,2,"ENG","TUETHU"
